Name,Status,Description,Vendor Type
Airtable,Active,Productivity and organization tool,Internal
Aliya Capital Group Corp,One-off,"""corp access"" one offs",
Alpha Sense,Active,AI-driven market intelligence and search platform,Research Vendor
AlphaSights Ltd,Active,Expert Network,Expert Networks
Arcana Analytics,Active,Risk and factor analytics tool,Research Vendor
Bipsync Ltd.,Active,Research Management System (RMS),Research Vendor
Bloomberg L.P.,Active,"Real-time market data, investment team and ops have terminals",Research Vendor
Blue Heron Partners Research LLC,One-off,Interviews,
BWG Strategy,Active,"Research Forums, Forum Synopses, Insight Reports",Research Vendor
Capital Economics,Active,Macroeconomic research,Research Vendor
Capital Markets Gateway,Active,Sellside / buyside ECM platform,Research Vendor
Channel Dynamics,Active,"Industrials, TMT, Healthcare, Consumer reports",Research Vendor
Cirium,Active,Fleet Analyzer,Data Vendor
Citrini Research,Active,-,Subscriptions
Cleveland Research,Active,Consumer/Industrial/Tech/Fintech/Healthcare research,Research Vendor
Consumer Edge Insight,Active,Credit card data,Data Vendor
Daloopa Inc,Active,AI driven data extraction / Model library,Research Vendor
Data.ai Inc / SensorTower,Active,App metrics for US & ROW countries.,Data Vendor
Dialectica,Active,Expert Network,Expert Networks
DowJones/WSJ,Active,Wall Street Journal,Subscriptions
Dynata,One-off,Survey provider,
ETR,Active,-,Data Vendor
FactSet Research Systems Inc.,Active,Global market data,Research Vendor
Finiato Inc (CorpAxe),Active,broker management platform,Internal
Gordon Haskett Research,Active,Consumer/Internet and Retail research,Research Vendor
Guidepoint,Active,Expert Network,Expert Networks
Hedgeye,Active,Ticker-specific research reports and calls,Research Vendor
Hex Technologies Inc.,Active,Data Visualization Tool,Data Vendor
Huber Research,Active,Boutique research reports and corporate access,Research Vendor
Inc-Query Llc,One-off,Survey programmer,
M Science LLC,Active,Alt data provider,Data Vendor
MacKay & Co,Active,Datapulse Plus heavy duty truck report,Research Vendor
Maiden Century,Active,Alt data platform,Data Vendor
Markit Group Limited,Active,"Pricing, analytics, trading services",Research Vendor
McCoy Power Reports,Active,Power project development reports,Research Vendor
MoffettNathanson,Active,Media & Communications Tier 1 Research + Corporate Access,Research Vendor
New Street Research,Active,Tech Infrastructure and US Internet Research,Research Vendor
Nielsen (Rakuten),Active,-,Data Vendor
People Data Labs,Active,Deal Sourcing Platform,Data Vendor
PitchBook Data Inc.,Active,Private company and investor database,Research Vendor
Preqin,Active,Private equity / investor database,Research Vendor
Rakuten Marketing LLC,Active,(Nielsen) Email receipt data,Data Vendor
Renaissance Macro,Active,-,Research Vendor
RepVue,Active,sales org metrics for software coverage,Data Vendor
Revealera,Active,Job postings data provider,Data Vendor
S&P Global Market Intelligence (CapIQ),Active,"Dashboard with data on companies, investment firms, capital transactions, and people",Research Vendor
Semianalysis,Active,Full Service Suite,Research Vendor
Semianalysis newsletter,Active,Semianalysis newsletter,Subscriptions
SimilarWeb Inc.,Active,US & WW Web Traffic. Traffic Sources / User Acq Data,Data Vendor
Slidexpress,Active,Deck creator,Internal
Snowflake,Active,cloud data warehouse for alt data,Data Vendor
Spins LLC,One-off,-,
Stratechery,Active,-,Subscriptions
Tegus - BamSEC,Active,SEC Filings and earnings transcripts,Research Vendor
Tegus - Expert Network,Active,Expert transcript library,Expert Networks
The Financial Times,Active,FT- Firm Subscription,Subscriptions
The Information,Active,-,Subscriptions
The New York Times,Active,NYT - Firm Subscription,Subscriptions
Triangle Brothers and Associates LLC,One-off,-,
Visible Alpha LLC,Active,Sell- side models and data aggregator,Research Vendor
Wolfe Research,Active,Research services,Research Vendor
Yipit LLC,Active,Alt data provider - currently subscrive to TOST and Consumer Goods Package (luxury),Data Vendor
Zelman & Associates,Active,Housing research,Research Vendor